Type_Ouvrage,Code_Ligne,Tension,Ville_Depart,Ville_Arrivee,Capacite_MW,Reg_Depart_Code,Reg_Depart,Reg_Arrivee_Code,Reg_Arrivee
AERIEN,GOURJL61ZMIOL,225kV,GOURJADE,MIOLLES,400,76,Occitanie,76,Occitanie
AERIEN,GOURJL61ZMIOL,225kV,MIOLLES,ST-VICTOR,400,76,Occitanie,76,Occitanie
AERIEN,C.SEIL61ZC.SE,225kV,CHATILLON-SUR-SEINE,DARCEY,400,27,Bourgogne-Franche-Comté,27,Bourgogne-Franche-Comté
AERIEN,C.SEIL61ZC.SE,225kV,DARCEY,ROSIERES,400,27,Bourgogne-Franche-Comté,84,Auvergne-Rhône-Alpes
AERIEN,CZTRYL61PLISO,225kV,COURTRY,PLISON,400,11,Île-de-France,11,Île-de-France
AERIEN,BXRE6L61CHAIN,225kV,BEAUREGARD(SAINT-LAURENT-NOUAN),CHAINGY,400,84,Auvergne-Rhône-Alpes,24,Centre-Val de Loire
AERIEN,BREAUL61PRELE,225kV,BREAU,PRELES (LES),400,11,Île-de-France,27,Bourgogne-Franche-Comté
AERIEN,DAMBRL62G.DEN,225kV,DAMBRON,GAULT-SAINT-DENIS,400,24,Centre-Val de Loire,24,Centre-Val de Loire
AERIEN,DAMBRL62ZESPI,225kV,CHAUNAY,DAMBRON,400,75,Nouvelle-Aquitaine,24,Centre-Val de Loire
AERIEN,DAMBRL62ZESPI,225kV,DAMBRON,ESPIERS (LES),400,24,Centre-Val de Loire,24,Centre-Val de Loire
AERIEN,G.COUL61VAUPA,225kV,GRAND-COURONNE,VAUPALIERE (LA),400,28,Normandie,28,Normandie
AERIEN,G.COUL63VAUPA,225kV,GRAND-COURONNE,VAUPALIERE (LA),400,28,Normandie,28,Normandie
AERIEN,CABRIL61REALT,225kV,CABRIES,REALTOR,400,93,Provence-Alpes-Côte d'Azur,93,Provence-Alpes-Côte d'Azur
AERIEN,COMPIL61MORU,225kV,COMPIEGNE,MORU,400,32,Hauts-de-France,11,Île-de-France
AERIEN,MOIMOL61MORU,225kV,MOIMONT,MORU,400,11,Île-de-France,11,Île-de-France
AERIEN,E.BOTL61REALT,225kV,ENCO-DE-BOTTE,REALTOR,400,93,Provence-Alpes-Côte d'Azur,93,Provence-Alpes-Côte d'Azur
AERIEN,REALTL61SEPTE,225kV,REALTOR,SEPTEMES,400,93,Provence-Alpes-Côte d'Azur,93,Provence-Alpes-Côte d'Azur
AERIEN,C.REGL61ZMAGN,225kV,CHAMPS-REGNAUD,CHAMPVANS,400,27,Bourgogne-Franche-Comté,27,Bourgogne-Franche-Comté
AERIEN,C.REGL61ZMAGN,225kV,CHAMPVANS,MAGNY(-SUR-TILLE),400,27,Bourgogne-Franche-Comté,24,Centre-Val de Loire
AERIEN,C.REGL62VIELM,225kV,CHAMPS-REGNAUD,VIELMOULIN,400,27,Bourgogne-Franche-Comté,27,Bourgogne-Franche-Comté
AERIEN,FIRM5L61JACQU,225kV,FIRMINY,JACQUARD,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,JACQUL61RIVIE,225kV,JACQUARD,RIVIERE (LA),400,84,Auvergne-Rhône-Alpes,75,Nouvelle-Aquitaine
AERIEN,L.CHAL61VEZIL,225kV,LONG-CHAMP (LE),VEZILLY,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,ORMESL61VEZIL,225kV,ORMES,VEZILLY,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,.VERBL61GEN.P,225kV,GENISSIAT-POSTE,VERBOIS,400,84,Auvergne-Rhône-Alpes,0,Étranger
AERIEN,.VERBL62GEN.P,225kV,GENISSIAT-POSTE,VERBOIS,400,84,Auvergne-Rhône-Alpes,0,Étranger
AERIEN,.VERBL62GEN.P,225kV,GENISSIAT-POSTE,VERBOIS,400,84,Auvergne-Rhône-Alpes,0,Étranger
AERIEN,C.METL61VOID,225kV,CROIX-DE-METZ,VOID,400,44,Grand Est,44,Grand Est
AERIEN,C.METL31CHOLO,225kV,CHOLOY,CROIX-DE-METZ,400,44,Grand Est,44,Grand Est
AERIEN,FALLOL62ZV.BE,225kV,FALLOU,PLESSIS-GASSOT,400,11,Île-de-France,11,Île-de-France
AERIEN,FALLOL62ZV.BE,225kV,PLESSIS-GASSOT,VILLIERS-LE-BEL,400,11,Île-de-France,11,Île-de-France
AERIEN,GAUDIL61LIVIE,225kV,LA GAUDIERE,LIVIERE,400,93,Provence-Alpes-Côte d'Azur,93,Provence-Alpes-Côte d'Azur
AERIEN,GAUDIL61LIVIE,225kV,LA GAUDIERE,LIVIERE,400,93,Provence-Alpes-Côte d'Azur,93,Provence-Alpes-Côte d'Azur
AERIEN,GAUDIL61LIVIE,225kV,LA GAUDIERE,LIVIERE,400,93,Provence-Alpes-Côte d'Azur,93,Provence-Alpes-Côte d'Azur
AERIEN,E.BOTL61MAZAR,225kV,ENCO-DE-BOTTE,MAZARGUES,400,93,Provence-Alpes-Côte d'Azur,93,Provence-Alpes-Côte d'Azur
AERIEN,PASSYL61PRESS,225kV,PASSY,PRESSY,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,B.MONL61BXCHA,225kV,BEAUCHASTEL,BEAUMONT-MONTEUX,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,TRIT5L61ZTRIT,225kV,GROS-CAILLOU,TRITH-ST-LEGER(PORT-ARTHUR LME),400,11,Île-de-France,32,Hauts-de-France
AERIEN,TRIT5L61ZTRIT,225kV,TRITH-ST-LEGER(PORT-ARTHUR LME),TRITH-ST-LEGER(L.M.E.),400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,AVELIL71WEPPE,400kV,AVELIN,WEPPES,1500,32,Hauts-de-France,32,Hauts-de-France
AERIEN,BOLL5L61TRI.P,225kV,BOLLENE,TRICASTIN-POSTE (LE),400,93,Provence-Alpes-Côte d'Azur,84,Auvergne-Rhône-Alpes
AERIEN,BOLL5L32TRICA,225kV,BOLLENE,TRICASTIN (LE),400,93,Provence-Alpes-Côte d'Azur,84,Auvergne-Rhône-Alpes
AERIEN,CHABRL61ZCBAU,225kV,BEAUMONT-MONTEUX,CHABRILLAN,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,CHABRL61ZCBAU,225kV,CHABRILLAN,CHAMBAUD,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,VALE8L61ZMANG,225kV,ETOILE-SUR-RHONE,LOGIS-NEUF,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,VALE8L61ZMANG,225kV,LOGIS-NEUF,VALENCE,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,MOTT5L61ROUGI,225kV,MOTTE (LA) (V.-LES-AVIGNON),ROUGIER,400,53,Bretagne,53,Bretagne
AERIEN,FROGEL61ZMER7,225kV,FROGES,GRANDE-ILE,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,FROGEL61ZMER7,225kV,GRANDE-ILE,MERCIERS (LES),400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,BRAUDL71PREGU,400kV,BRAUD,PREGUILLAC,1500,75,Nouvelle-Aquitaine,75,Nouvelle-Aquitaine
AERIEN,DURANL61REALT,225kV,DURANNE (LA),REALTOR,400,93,Provence-Alpes-Côte d'Azur,93,Provence-Alpes-Côte d'Azur
