datetime,date_only,heures,consommation
2024-06-05 16:30:00,2024-06-05,16:30,46103.0
2024-06-05 17:00:00,2024-06-05,17:00,45576.0
2024-06-05 17:30:00,2024-06-05,17:30,45493.0
2024-06-05 18:00:00,2024-06-05,18:00,45604.0
2024-06-05 18:30:00,2024-06-05,18:30,46083.0
2024-06-05 19:00:00,2024-06-05,19:00,47118.0
2024-06-05 19:30:00,2024-06-05,19:30,47638.0
2024-06-05 20:00:00,2024-06-05,20:00,47074.0
2024-06-05 20:30:00,2024-06-05,20:30,45930.0
2024-06-05 21:00:00,2024-06-05,21:00,44616.0
2024-06-05 21:30:00,2024-06-05,21:30,43747.0
2024-06-05 22:00:00,2024-06-05,22:00,43554.0
2024-06-05 22:30:00,2024-06-05,22:30,44720.0
2024-06-05 23:00:00,2024-06-05,23:00,46123.0
2024-06-05 23:30:00,2024-06-05,23:30,45455.0
2024-07-24 00:00:00,2024-07-24,00:00,45256.0
2024-07-24 00:30:00,2024-07-24,00:30,43589.0
2024-07-24 01:00:00,2024-07-24,01:00,40806.0
2024-07-24 01:30:00,2024-07-24,01:30,40011.0
2024-07-24 02:00:00,2024-07-24,02:00,39361.0
2024-07-24 02:30:00,2024-07-24,02:30,38768.0
2024-07-24 03:00:00,2024-07-24,03:00,37544.0
2024-07-24 03:30:00,2024-07-24,03:30,36824.0
2024-07-24 04:00:00,2024-07-24,04:00,36087.0
2024-07-24 04:30:00,2024-07-24,04:30,35704.0
2024-07-24 05:00:00,2024-07-24,05:00,35594.0
2024-07-24 05:30:00,2024-07-24,05:30,36591.0
2024-07-24 06:00:00,2024-07-24,06:00,37380.0
2024-07-24 06:30:00,2024-07-24,06:30,38608.0
2024-07-24 07:00:00,2024-07-24,07:00,39784.0
2024-07-24 07:30:00,2024-07-24,07:30,41602.0
2024-07-24 08:00:00,2024-07-24,08:00,43320.0
2024-07-24 08:30:00,2024-07-24,08:30,45124.0
2024-07-24 09:00:00,2024-07-24,09:00,46641.0
2024-07-24 09:30:00,2024-07-24,09:30,47701.0
2024-07-24 10:00:00,2024-07-24,10:00,48605.0
2024-07-24 10:30:00,2024-07-24,10:30,49414.0
2024-07-24 11:00:00,2024-07-24,11:00,50066.0
2024-07-24 11:30:00,2024-07-24,11:30,50580.0
2024-07-24 12:00:00,2024-07-24,12:00,51386.0
2024-07-24 12:30:00,2024-07-24,12:30,52022.0
2024-07-24 13:00:00,2024-07-24,13:00,52666.0
2024-07-24 13:30:00,2024-07-24,13:30,51934.0
2024-07-24 14:00:00,2024-07-24,14:00,51412.0
2024-07-24 14:30:00,2024-07-24,14:30,51382.0
2024-07-24 15:00:00,2024-07-24,15:00,50903.0
2024-07-24 15:30:00,2024-07-24,15:30,50393.0
2024-07-24 16:00:00,2024-07-24,16:00,49683.0
2024-07-24 16:30:00,2024-07-24,16:30,49110.0
2024-07-24 17:00:00,2024-07-24,17:00,48633.0
2024-07-24 17:30:00,2024-07-24,17:30,48106.0
2024-07-24 18:00:00,2024-07-24,18:00,48220.0
2024-07-24 18:30:00,2024-07-24,18:30,48601.0
2024-07-24 19:00:00,2024-07-24,19:00,49173.0
2024-07-24 19:30:00,2024-07-24,19:30,49225.0
2024-07-24 20:00:00,2024-07-24,20:00,48706.0
2024-07-24 20:30:00,2024-07-24,20:30,47514.0
2024-07-24 21:00:00,2024-07-24,21:00,46215.0
2024-07-24 21:30:00,2024-07-24,21:30,45434.0
2024-07-24 22:00:00,2024-07-24,22:00,45288.0
2024-07-24 22:30:00,2024-07-24,22:30,46410.0
2024-07-24 23:00:00,2024-07-24,23:00,47589.0
2024-07-24 23:30:00,2024-07-24,23:30,46556.0
2024-08-09 00:00:00,2024-08-09,00:00,43354.0
2024-08-09 00:30:00,2024-08-09,00:30,41690.0
2024-08-09 01:00:00,2024-08-09,01:00,39107.0
2024-08-09 01:30:00,2024-08-09,01:30,38440.0
2024-08-09 02:00:00,2024-08-09,02:00,37787.0
2024-08-09 02:30:00,2024-08-09,02:30,37234.0
2024-08-09 03:00:00,2024-08-09,03:00,35972.0
2024-08-09 03:30:00,2024-08-09,03:30,35072.0
2024-08-09 04:00:00,2024-08-09,04:00,34419.0
2024-08-09 04:30:00,2024-08-09,04:30,34040.0
2024-08-09 05:00:00,2024-08-09,05:00,33972.0
2024-08-09 05:30:00,2024-08-09,05:30,34679.0
2024-08-09 06:00:00,2024-08-09,06:00,35289.0
2024-08-09 06:30:00,2024-08-09,06:30,36611.0
2024-08-09 07:00:00,2024-08-09,07:00,37232.0
2024-08-09 07:30:00,2024-08-09,07:30,38422.0
2024-08-09 08:00:00,2024-08-09,08:00,39704.0
2024-08-09 08:30:00,2024-08-09,08:30,41172.0
2024-08-09 09:00:00,2024-08-09,09:00,42535.0
2024-08-09 09:30:00,2024-08-09,09:30,43930.0
2024-08-09 10:00:00,2024-08-09,10:00,44817.0
2024-08-09 10:30:00,2024-08-09,10:30,45747.0
2024-08-09 11:00:00,2024-08-09,11:00,46382.0
2024-08-09 11:30:00,2024-08-09,11:30,47040.0
2024-08-09 12:00:00,2024-08-09,12:00,47849.0
2024-08-09 12:30:00,2024-08-09,12:30,48878.0
2024-08-09 13:00:00,2024-08-09,13:00,49639.0
2024-08-09 13:30:00,2024-08-09,13:30,48886.0
2024-08-09 14:00:00,2024-08-09,14:00,48228.0
2024-08-09 14:30:00,2024-08-09,14:30,48296.0
2024-08-09 15:00:00,2024-08-09,15:00,47800.0
2024-08-09 15:30:00,2024-08-09,15:30,47437.0
2024-08-09 16:00:00,2024-08-09,16:00,46771.0
2024-08-09 16:30:00,2024-08-09,16:30,46499.0
2024-08-09 17:00:00,2024-08-09,17:00,46116.0
2024-08-09 17:30:00,2024-08-09,17:30,45979.0
2024-08-09 18:00:00,2024-08-09,18:00,46171.0
2024-08-09 18:30:00,2024-08-09,18:30,46338.0
2024-08-09 19:00:00,2024-08-09,19:00,46681.0
2024-08-09 19:30:00,2024-08-09,19:30,46566.0
2024-08-09 20:00:00,2024-08-09,20:00,45935.0
2024-08-09 20:30:00,2024-08-09,20:30,44953.0
2024-08-09 21:00:00,2024-08-09,21:00,43843.0
2024-08-09 21:30:00,2024-08-09,21:30,43760.0
2024-08-09 22:00:00,2024-08-09,22:00,43789.0
2024-08-09 22:30:00,2024-08-09,22:30,44382.0
2024-08-09 23:00:00,2024-08-09,23:00,45230.0
2024-08-09 23:30:00,2024-08-09,23:30,44244.0
2024-09-18 00:00:00,2024-09-18,00:00,44059.0
2024-09-18 00:30:00,2024-09-18,00:30,42513.0
2024-09-18 01:00:00,2024-09-18,01:00,40086.0
2024-09-18 01:30:00,2024-09-18,01:30,39227.0
2024-09-18 02:00:00,2024-09-18,02:00,38682.0
2024-09-18 02:30:00,2024-09-18,02:30,38332.0
2024-09-18 03:00:00,2024-09-18,03:00,37215.0
2024-09-18 03:30:00,2024-09-18,03:30,36411.0
2024-09-18 04:00:00,2024-09-18,04:00,35719.0
2024-09-18 04:30:00,2024-09-18,04:30,35420.0
2024-09-18 05:00:00,2024-09-18,05:00,35406.0
2024-09-18 05:30:00,2024-09-18,05:30,36398.0
2024-09-18 06:00:00,2024-09-18,06:00,37638.0
2024-09-18 06:30:00,2024-09-18,06:30,40186.0
2024-09-18 07:00:00,2024-09-18,07:00,42535.0
2024-09-18 07:30:00,2024-09-18,07:30,44782.0
2024-09-18 08:00:00,2024-09-18,08:00,45845.0
2024-09-18 08:30:00,2024-09-18,08:30,47204.0
2024-09-18 09:00:00,2024-09-18,09:00,48244.0
2024-09-18 09:30:00,2024-09-18,09:30,48779.0
2024-09-18 10:00:00,2024-09-18,10:00,49186.0
2024-09-18 10:30:00,2024-09-18,10:30,49644.0
2024-09-18 11:00:00,2024-09-18,11:00,49906.0
2024-09-18 11:30:00,2024-09-18,11:30,50263.0
2024-09-18 12:00:00,2024-09-18,12:00,50896.0
2024-09-18 12:30:00,2024-09-18,12:30,51420.0
2024-09-18 13:00:00,2024-09-18,13:00,52125.0
2024-09-18 13:30:00,2024-09-18,13:30,51060.0
2024-09-18 14:00:00,2024-09-18,14:00,50344.0
2024-09-18 14:30:00,2024-09-18,14:30,49879.0
2024-09-18 15:00:00,2024-09-18,15:00,48984.0
2024-09-18 15:30:00,2024-09-18,15:30,48359.0
2024-09-18 16:00:00,2024-09-18,16:00,47597.0
2024-09-18 16:30:00,2024-09-18,16:30,46861.0
2024-09-18 17:00:00,2024-09-18,17:00,46341.0
2024-09-18 17:30:00,2024-09-18,17:30,45740.0
2024-09-18 18:00:00,2024-09-18,18:00,46085.0
2024-09-18 18:30:00,2024-09-18,18:30,46819.0
2024-09-18 19:00:00,2024-09-18,19:00,48158.0
2024-09-18 19:30:00,2024-09-18,19:30,48932.0
2024-09-18 20:00:00,2024-09-18,20:00,48785.0
2024-09-18 20:30:00,2024-09-18,20:30,48689.0
2024-09-18 21:00:00,2024-09-18,21:00,47449.0
2024-09-18 21:30:00,2024-09-18,21:30,46030.0
2024-09-18 22:00:00,2024-09-18,22:00,44664.0
2024-09-18 22:30:00,2024-09-18,22:30,44794.0
2024-09-18 23:00:00,2024-09-18,23:00,45781.0
2024-09-18 23:30:00,2024-09-18,23:30,44876.0
2024-10-16 00:00:00,2024-10-16,00:00,45643.0
2024-10-16 00:30:00,2024-10-16,00:30,44380.0
2024-10-16 01:00:00,2024-10-16,01:00,41720.0
2024-10-16 01:30:00,2024-10-16,01:30,40704.0
2024-10-16 02:00:00,2024-10-16,02:00,40174.0
2024-10-16 02:30:00,2024-10-16,02:30,39788.0
2024-10-16 03:00:00,2024-10-16,03:00,38551.0
2024-10-16 03:30:00,2024-10-16,03:30,37706.0
2024-10-16 04:00:00,2024-10-16,04:00,36938.0
2024-10-16 04:30:00,2024-10-16,04:30,36570.0
2024-10-16 05:00:00,2024-10-16,05:00,36615.0
2024-10-16 05:30:00,2024-10-16,05:30,37682.0
2024-10-16 06:00:00,2024-10-16,06:00,38939.0
2024-10-16 06:30:00,2024-10-16,06:30,41536.0
