Type ouvrage;Code ligne 1;Nom ligne 1;Etat;TENSION;Source donnée;Nombre circuit;Code ligne 2;Nom ligne 2;Code ligne 3;Nom ligne 3;Code ligne 4;Nom ligne 4;Code ligne 5;Nom ligne 5
AERIEN;TAVELL71TRI.P;LIAISON 400kV N0 1 TAVEL - TRICASTIN-POSTE (LE);EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;CIROLL61LOGES;LIAISON 225kV N0 1 CIROLLIERS-LOGES (LES);EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;B.MONL61ZCPB5;LIAISON 225kV N0 1 BEAUMONT-MONTEUX - CHAMPBLAIN - GAMPALOUP;EN EXPLOITATION;225kV;RTE;2;B.MONL62GAMPA;LIAISON 225kV N0 2 BEAUMONT-MONTEUX-GAMPALOUP;;;;;;
AERIEN;CORMEL63ZFRO6;LIAISON 225kV N0 3 CERGY - CORMEILLES - FROMAINVILLE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;BOISSL61MEUNI;LIAISON 225kV N0 1 BOISSE (LA) - MEUNIERES (LES);EN EXPLOITATION;225kV;RTE;2;BOISSL61ZJOUX;LIAISON 225kV N0 1 BOISSE (LA) - JOUX - MACON;;;;;;
AERIEN;CAIL5L61RABAT;LIAISON 225kV N0 1 CAILLOLS - RABATAU;EN EXPLOITATION;225kV;RTE;2;E.BOTL61MAZAR;LIAISON 225kV N0 1 ENCO-DE-BOTTE-MAZARGUES;;;;;;
AERIEN;BAYETL72GREPI;LIAISON 400kV N0 2 BAYET - GREPILLES;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;LIERSL61LOGES;LIAISON 225kV N0 1 LIERS-LOGES (LES);EN EXPLOITATION;225kV;RTE;2;LIERSL61ZLIN7;LIAISON 225kV N0 1 LIERS - VILLEJUST - PETIT-BOIS (LE);;;;;;
AERIEN;PLAISL62ZAVR5;LIAISON 225kV N0 2 PLAISANCE - VILLEVAUDE - AVRON;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;AYRESL61GODIN;LIAISON 225kV N0 1 AYRES - GODIN;EN EXPLOITATION;225kV;RTE;2;AYRESL61SSVIC;LIAISON 225kV N0 1 AYRES - ST-VICTOR;;;;;;
AERIEN;AVOI5L72DISTR;LIAISON 400kV N0 2 AVOINE(POSTE 400 kV) - DISTRE;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;CATTEL73VIGY;LIAISON 400kV N0 3 CATTENOM - VIGY;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;GRENAL61ZGREN;LIAISON 225kV N0 1 AOSTE - GRENAY - MIONS;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;LANDEL62MARTY;LIAISON 225kV N0 2 LANDERNEAU-MARTYRE (LA);EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;CERGYL61PORCH;LIAISON 225kV N0 1 CERGY-PORCHEVILLE;EN EXPLOITATION;225kV;RTE;2;CERGYL61PUISE;LIAISON 225kV N0 1 CERGY-PUISEUX;;;;;;
AERIEN;DAMBRL71VERGE;LIAISON 400kV N0 1 DAMBRON - VERGER;EN EXPLOITATION;400kV;RTE;2;DAMBRL72VERGE;LIAISON 400kV N0 2 DAMBRON - VERGER;;;;;;
AERIEN;BOISSL63SSV.E;LIAISON 225kV N0 3 BOISSE (LA) - ST-VULBAS-EST;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;EMALEL61ZEMAL;LIAISON 225kV N0 1 EMALES(LES) - RANVILLE - TOURBE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;ROUGEL61YAINV;LIAISON 225kV N0 1 ROUGEMONTIER-YAINVILLE;EN EXPLOITATION;225kV;RTE;2;G.COUL41GANTE;LIAISON 90kV N0 1 GANTERIE-GRAND-COURONNE;;;;;;
AERIEN;DAMERL61VESLE;LIAISON 225kV N0 1 DAMERY-VESLE;EN EXPLOITATION;225kV;RTE;2;NOGENL61ORMES;LIAISON 225kV N0 1 NOGENTEL - ORMES;;;;;;
AERIEN;CHALOL61CPVAN;LIAISON 225kV N0 1 CHALON-CHAMPVANS;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;GEN.PL71VIELM;LIAISON 400kV N0 1 GENISSIAT-POSTE - VIELMOULIN;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;GEN.PL72VIELM;LIAISON 400kV N0 2 GENISSIAT-POSTE - VIELMOULIN;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;ROMAIL64ZGALE;LIAISON 225kV N0 4 GALERES - ROMAINVILLE - VILLEVAUDE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;BREUIL61ZDONZ;LIAISON 225kV N0 1 BREUIL - CHASTANG 1 - DONZENAC;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;L.DELL61PRRTT;LIAISON 225kV N0 1 LILLE DELIVRANCE-PIERRETTE (LA);EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;BEZAUL61VANDI;LIAISON 225kV N0 1 BEZAUMONT-VANDIERES;EN EXPLOITATION;225kV;RTE;2;BEZAUL62VANDI;LIAISON 225kV N0 2 BEZAUMONT-VANDIERES;;;;;;
AERIEN;CORDEL61SAUTE;LIAISON 225kV N0 1 CORDEAC-SAUTET (LE);EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;SQUIVL62ZTREF;LIAISON 225kV N0 2 DIRINON - MARTYRE (LA) - SQUIVIDAN;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;B.MONL72CHAFF;LIAISON 400kV N0 2 BEAUMONT-MONTEUX - CHAFFARD (LE);EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;CHAFFL71COULA;LIAISON 400kV N0 1 CHAFFARD (LE) - COULANGE;EN EXPLOITATION;400kV;RTE;2;B.MONL72CHAFF;LIAISON 400kV N0 2 BEAUMONT-MONTEUX - CHAFFARD (LE);;;;;;
AERIEN;COUPVL61VLEVA;LIAISON 225kV N0 1 COUPVRAY - VILLEVAUDE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;OLLI5L61ZPELA;LIAISON 225kV N0 1 BOUTRE - OLLIERES - PELADE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;PICOCL71VLERB;LIAISON 400kV N0 1 PICOCHERIE (LA) - VILLERBON;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;CURBAL61ZBLAU;LIAISON 225kV N0 1 CURBANS - SISTERON - BLAUX;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;AVELIL71MASTA;LIAISON 400kV N0 1 AVELIN - MASTAING;EN EXPLOITATION;400kV;RTE;2;AVELIL61MASTA;LIAISON 225kV N0 1 AVELIN - MASTAING;;;;;;
AERIEN;DIRINL62ZTREF;LIAISON 225kV N0 2 DIRINON - MARTYRE (LA) - SQUIVIDAN;EN EXPLOITATION;225kV;RTE;2;PLOUGL31ZSSUR;LIAISON 63kV N0 1 LANDERNEAU-PLOUGASTEL-RUMENGOL;;;;;;
AERIEN;CPNIEL61S.PON;LIAISON 225kV N0 1 CHAMPAGNIER-SERRE-PONCON;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;BRENNL61MARTY;LIAISON 225kV N0 1 BRENNILIS-MARTYRE (LA);EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;VLEJUL61ZMTJ5;LIAISON 225kV N0 1 ELANCOURT - VILLEJUST - MONTJAY;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;BASTIL61LANNE;LIAISON 225kV N0 1 BASTILLAC-LANNEMEZAN;EN EXPLOITATION;225kV;RTE;2;V.BIGL31ZBIA7;LIAISON 63kV N0 1 BASTILLAC-BIACAVE-VIC EN BIGORRE;;;;;;
AERIEN;.VERBL61GEN.P;LIAISON 225kV N0 1 GENISSIAT-POSTE-VERBOIS;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;BREUIL61BREUI;LIAISON 225kV N0 1 ATR761 DE BREUIL;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;ESTR6L61FAMAR;LIAISON 225kV N0 1 ESTREUX-FAMARS;EN EXPLOITATION;225kV;RTE;2;FAMARL61G.CAI;LIAISON 225kV N0 1 FAMARS-GROS-CAILLOU;;;;;;
AERIEN;PRIMEL61SAUS5;LIAISON 225kV N0 1 PRIMEVERES-SAUSSET;EN EXPLOITATION;225kV;RTE;2;PRIMEL62SAUS5;LIAISON 225kV N0 2 PRIMEVERES - SAUSSET;;;;;;
AERIEN;DAMBRL71GATI5;LIAISON 400kV N0 1 DAMBRON - GATINAIS;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;COUESL61COUES;LIAISON 225kV N0 1 COUESQUE - COUESQUE G1;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;RUPREL61ZRUPR;LIAISON 225kV N0 1 BEAUTOR(POSTE) - RUPREUX - SOISSONS-NOTRE-DAME;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;FLOIRL61MQIS;LIAISON 225kV N0 1 FLOIRAC EDF-MARQUIS (LE);EN EXPLOITATION;225kV;RTE;2;FLOIRL62MQIS;LIAISON 225kV N0 2 FLOIRAC EDF-MARQUIS (LE);;;;;;
AERIEN;CHALOL61GROSN;LIAISON 225kV N0 1 CHALON-GROSNE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
