Type ouvrage;Code ligne 1;Nom ligne 1;Etat;TENSION;Nombre circuit;Code ligne 2;Nom ligne 2;Code ligne 3;Nom ligne 3;Code ligne 4;Nom ligne 4;Code ligne 5;Nom ligne 5
SOUTERRAIN;AMFARL61RATIE;LIAISON 225kV N0 1 AMFARD-RATIER;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;SARRYL61SEREI;LIAISON 225kV N0 1 SARRY-SEREIN;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MIONSL62MOUCH;LIAISON 225kV N0 2 MIONS-MOUCHE (LA);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;LOGESL61ZLINA;LIAISON 225kV N0 1 ESCARGOT - LOGES (LES) - PETIT-BOIS (LE);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;BERT5L61TOLBI;LIAISON 225kV N0 1 BERTHOLLET - TOLBIAC;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;AMPERL62SEINE;LIAISON 225kV N0 2 AMPERE (SAINT-DENIS) - SEINE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;GRAV5L61WARAN;LIAISON 225kV N0 1 GRAVELINES (CENTRALE)-WARANDE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CHAV6L61GEN.P;LIAISON 225kV N0 1 CHAVANOD - GENISSIAT-POSTE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;P.ANDL71S.BIS;LIAISON 400kV N0 1 PRAZ-ST-ANDRE - SUPER-BISSORTE;EN EXPLOITATION;400kV;1;;;;;;;;
SOUTERRAIN;G.SOLL71PENL5;LIAISON 400kV N0 1 GRANDE-SOLE (LA) - PENLY (POSTE EVACUATION);EN EXPLOITATION;400kV;1;;;;;;;;
SOUTERRAIN;SONNEL61SSMR;LIAISON 225kV N0 1 SONNETTES - ST-MAUR;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CONVEL61LAOS;LIAISON 225kV N0 1 CONVENTION-LAOS;EN EXPLOITATION;225kV;1;;;;;;;;
